Italian Letter|English Phonetic Example|Audio URL
"A"|"Sounds like "a" in "cat""|"https://d2jkfj9lazd7el.cloudfront.net/audio/phrase/italian/180375-RI1_LC_1.5_57.mp3"
"B"|"Sounds like "bee""|"https://d2jkfj9lazd7el.cloudfront.net/audio/phrase/italian/180376-RI1_LC_1.5_58.mp3"
"C"|"Sounds like "chee" in "cheese""|"https://d2jkfj9lazd7el.cloudfront.net/audio/phrase/italian/180377-RI1_LC_1.5_59.mp3"
"D"|"Sounds like "dee" in "deep""|"https://d2jkfj9lazd7el.cloudfront.net/audio/phrase/italian/180378-RI1_LC_1.5_60.mp3"
"E"|"Sounds like "ey" in "they""|"https://d2jkfj9lazd7el.cloudfront.net/audio/phrase/italian/180379-RI1_LC_1.5_61.mp3"
"F"|"Sounds like "ef-eh""|"https://d2jkfj9lazd7el.cloudfront.net/audio/phrase/italian/180380-RI1_LC_1.5_62.mp3"
"G"|"Sounds like "gee""|"https://d2jkfj9lazd7el.cloudfront.net/audio/phrase/italian/180381-RI1_LC_1.5_63.mp3"
"H"|"Sounds like "ah-ca""|"https://d2jkfj9lazd7el.cloudfront.net/audio/phrase/italian/180382-RI1_LC_1.5_64.mp3"
"I"|"Sounds like "ee""|"https://d2jkfj9lazd7el.cloudfront.net/audio/phrase/italian/180383-RI1_LC_1.5_65.mp3"
"J"|"Sounds like "jay""|"https://d2jkfj9lazd7el.cloudfront.net/audio/phrase/italian/180384-RI1_LC_1.5_66.mp3"
"K"|"Sounds like "kappa""|"https://d2jkfj9lazd7el.cloudfront.net/audio/phrase/italian/180385-RI1_LC_1.5_67.mp3"
"L"|"Sounds like "el-eh""|"https://d2jkfj9lazd7el.cloudfront.net/audio/phrase/italian/180386-RI1_LC_1.5_68.mp3"
"M"|"Sounds like "em-eh""|"https://d2jkfj9lazd7el.cloudfront.net/audio/phrase/italian/180387-RI1_LC_1.5_69.mp3"
"N"|"Sounds like "en-eh""|"https://d2jkfj9lazd7el.cloudfront.net/audio/phrase/italian/180388-RI1_LC_1.5_70.mp3"
"O"|"Sounds like "oh""|"https://d2jkfj9lazd7el.cloudfront.net/audio/phrase/italian/180389-RI1_LC_1.5_71.mp3"
"P"|"Sounds like "pee""|"https://d2jkfj9lazd7el.cloudfront.net/audio/phrase/italian/180390-RI1_LC_1.5_72.mp3"
"Q"|"Sounds like "coo""|"https://d2jkfj9lazd7el.cloudfront.net/audio/phrase/italian/180391-RI1_LC_1.5_73.mp3"
"R"|"Sounds like "eh-reh""|"https://d2jkfj9lazd7el.cloudfront.net/audio/phrase/italian/180392-RI1_LC_1.5_74.mp3"
"S"|"Sounds like "es-eh""|"https://d2jkfj9lazd7el.cloudfront.net/audio/phrase/italian/180393-RI1_LC_1.5_75.mp3"
"T"|"Sounds like "tee""|"https://d2jkfj9lazd7el.cloudfront.net/audio/phrase/italian/180394-RI1_LC_1.5_76.mp3"
"U"|"Sounds like "oo""|"https://d2jkfj9lazd7el.cloudfront.net/audio/phrase/italian/180395-RI1_LC_1.5_77.mp3"
"V"|"Sounds like "vee""|"https://d2jkfj9lazd7el.cloudfront.net/audio/phrase/italian/180396-RI1_LC_1.5_78.mp3"
"W"|"Sounds like "doh-pia-voo""|"https://d2jkfj9lazd7el.cloudfront.net/audio/phrase/italian/180397-RI1_LC_1.5_79.mp3"
"X"|"Sounds like "eecks""|"https://d2jkfj9lazd7el.cloudfront.net/audio/phrase/italian/180398-RI1_LC_1.5_80.mp3"
"Y"|"Sounds like "eepsilon""|"https://d2jkfj9lazd7el.cloudfront.net/audio/phrase/italian/180399-RI1_LC_1.5_81.mp3"
"Z"|"Sounds like "dzay-tah""|"https://d2jkfj9lazd7el.cloudfront.net/audio/phrase/italian/180400-RI1_LC_1.5_82.mp3"
"amore"|"love"|"https://d2jkfj9lazd7el.cloudfront.net/audio/phrase/italian/180341-RI1_LC_1.5_25.mp3"
"bambino"|"baby"|"https://d2jkfj9lazd7el.cloudfront.net/audio/phrase/italian/180342-RI1_LC_1.5_26.mp3"
"cane"|"dog"|"https://d2jkfj9lazd7el.cloudfront.net/audio/phrase/italian/180343-RI1_LC_1.5_27.mp3"
"dito"|"finger"|"https://d2jkfj9lazd7el.cloudfront.net/audio/phrase/italian/180344-RI1_LC_1.5_28.mp3"
